time,open,high,low,close,volume
2024-03-03 00:00:00,130.23,130.91,128.49,130.36,153969.14
2024-03-03 04:00:00,130.38,130.79,123.74,126.91,148788.42
2024-03-03 08:00:00,126.91,131.53,125.31,128.89,162696.93
2024-03-03 12:00:00,128.92,129.87,127.79,129.72,144456.49
2024-03-03 16:00:00,129.72,131.46,128.99,130.54,128440.24
2024-03-03 20:00:00,130.57,132.58,129.82,130.35,174212.92
2024-03-04 00:00:00,130.34,133.22,128.64,129.18,186490.07
2024-03-04 04:00:00,129.17,130.09,128.72,129.86,58274.06
2024-03-04 08:00:00,129.84,135.21,129.7,132.79,404644.2
2024-03-04 12:00:00,132.79,133.88,129.53,131.98,994335.4399999999
2024-03-04 16:00:00,131.99,132.2,127.55,129.8,268038.37
2024-03-04 20:00:00,129.8,133.67,128.39,133.58,121475.5
2024-03-05 00:00:00,133.58,133.59,129.54,130.43,133459.17
2024-03-05 04:00:00,130.43,133.2,127.91,129.74,241106.1
2024-03-05 08:00:00,129.72,132.49,129.12,130.96,116098.09
2024-03-05 12:00:00,131.0,142.93,130.99,139.51,405029.19
2024-03-05 16:00:00,139.5,140.78,105.33,119.38,673337.34
2024-03-05 20:00:00,119.38,127.51,116.43,125.61,425826.51
2024-03-06 00:00:00,125.52,126.97,120.3,122.58,165541.06
2024-03-06 04:00:00,122.62,133.52,122.54,133.39,197613.05
2024-03-06 08:00:00,133.41,135.12,129.42,132.05,174253.27
2024-03-06 12:00:00,132.31,132.31,125.73,128.39,305495.88
2024-03-06 16:00:00,128.39,132.22,128.17,131.02,149616.24
2024-03-06 20:00:00,131.05,132.65,130.3,131.1,145733.76
2024-03-07 00:00:00,131.07,141.98,130.7,138.43,381336.42
2024-03-07 04:00:00,138.38,140.29,136.23,138.41,204685.86
2024-03-07 08:00:00,138.41,144.73,138.21,140.43,316056.06
2024-03-07 12:00:00,140.41,149.49,139.33,146.32,247224.64
2024-03-07 16:00:00,146.26,149.53,145.44,149.08,170103.79
2024-03-07 20:00:00,149.03,149.24,143.75,144.05,146766.02
2024-03-08 00:00:00,144.04,146.66,143.41,144.48,93707.62
2024-03-08 04:00:00,144.49,145.75,142.21,144.63,83036.65
2024-03-08 08:00:00,144.68,149.3,144.57,149.28,96606.53
2024-03-08 12:00:00,149.27,153.05,143.5,145.71,257031.91
2024-03-08 16:00:00,145.72,150.98,142.35,148.18,166466.94
2024-03-08 20:00:00,148.17,149.42,143.79,145.09,139665.25
2024-03-09 00:00:00,145.09,147.2,144.69,145.98,95038.05
2024-03-09 04:00:00,145.91,149.41,145.52,148.61,43944.57
2024-03-09 08:00:00,148.6,148.98,145.2,147.06,40337.49
2024-03-09 12:00:00,147.08,147.54,145.25,147.32,34921.83
2024-03-09 16:00:00,147.29,147.44,143.65,145.48,70890.61
2024-03-09 20:00:00,145.56,146.96,144.32,144.53,29922.82
2024-03-10 00:00:00,144.6,148.6,144.01,146.97,56841.64
2024-03-10 04:00:00,147.0,148.89,146.87,148.64,40961.64
2024-03-10 08:00:00,148.65,148.74,145.12,145.67,56394.43
2024-03-10 12:00:00,145.65,146.07,141.53,143.11,97420.74
2024-03-10 16:00:00,143.08,145.52,142.9,145.31,78133.34
2024-03-10 20:00:00,145.28,145.45,140.6,144.58,80230.18
