time,open,high,low,close,volume
2026-01-09 19:30:00,3075.3,3078.8,3069.6,3074.6,6802.858
2026-01-09 19:45:00,3074.0,3088.7,3073.4,3080.2,5430.8297
2026-01-09 20:00:00,3080.3,3090.1,3078.0,3087.7,6318.2206
2026-01-09 20:15:00,3087.1,3090.1,3082.3,3083.9,2546.8372
2026-01-09 20:30:00,3083.7,3091.8,3077.5,3077.7,3138.4439
2026-01-09 20:45:00,3077.8,3081.6,3070.7,3073.1,22280.124
2026-01-09 21:00:00,3073.1,3078.7,3065.7,3077.1,10934.8425
2026-01-09 21:15:00,3077.4,3091.1,3076.6,3087.1,3368.5912
2026-01-09 21:30:00,3087.1,3092.9,3081.7,3082.2,1120.1535
2026-01-09 21:45:00,3082.3,3087.0,3079.3,3085.8,4366.2939
2026-01-09 22:00:00,3085.7,3088.4,3074.8,3079.3,2759.8963
2026-01-09 22:15:00,3079.4,3082.6,3077.0,3082.6,2710.8667
2026-01-09 22:30:00,3082.9,3088.1,3081.1,3082.0,2135.4669
2026-01-09 22:45:00,3082.1,3086.9,3081.9,3086.2,355.143
2026-01-09 23:00:00,3086.1,3089.7,3083.7,3088.6,511.2819
2026-01-09 23:15:00,3088.5,3091.4,3086.5,3090.3,274.4486
2026-01-09 23:30:00,3090.3,3092.9,3088.6,3090.5,1240.851
2026-01-09 23:45:00,3090.5,3091.7,3085.2,3088.2,827.2905
2026-01-10 00:00:00,3088.2,3089.5,3084.1,3084.6,995.0989
2026-01-10 00:15:00,3084.6,3087.5,3081.9,3087.5,604.2397
2026-01-10 00:30:00,3087.5,3088.9,3084.7,3085.5,571.5306
2026-01-10 00:45:00,3085.4,3085.5,3081.1,3082.7,406.7838
2026-01-10 01:00:00,3082.6,3087.4,3082.6,3087.4,1158.188
2026-01-10 01:15:00,3087.4,3089.2,3086.0,3089.2,1456.1879
2026-01-10 01:30:00,3089.3,3090.2,3088.0,3089.9,619.053
2026-01-10 01:45:00,3089.6,3091.0,3087.2,3089.2,419.2797
2026-01-10 02:00:00,3089.3,3091.4,3089.2,3091.4,307.1152
2026-01-10 02:15:00,3091.2,3093.4,3089.7,3091.2,804.4125
2026-01-10 02:30:00,3090.8,3090.8,3082.7,3083.3,960.2666
2026-01-10 02:45:00,3083.3,3087.5,3083.2,3087.3,357.6583
2026-01-10 03:00:00,3087.3,3087.5,3079.4,3079.4,4007.2279
2026-01-10 03:15:00,3079.5,3087.0,3079.5,3086.8,609.8507
2026-01-10 03:30:00,3086.9,3087.5,3083.7,3084.6,644.5647
2026-01-10 03:45:00,3085.0,3088.4,3084.6,3085.8,333.5861
2026-01-10 04:00:00,3085.9,3087.0,3080.5,3082.1,646.5599
2026-01-10 04:15:00,3082.0,3082.7,3079.9,3082.0,2700.9393
2026-01-10 04:30:00,3082.0,3084.1,3081.5,3083.8,532.5584
2026-01-10 04:45:00,3083.9,3084.7,3078.1,3079.3,1077.9193
2026-01-10 05:00:00,3079.4,3084.6,3079.2,3083.8,303.3458
2026-01-10 05:15:00,3083.9,3084.1,3082.8,3084.0,920.5118
2026-01-10 05:30:00,3084.4,3087.1,3083.3,3086.8,360.7428
2026-01-10 05:45:00,3086.7,3087.0,3085.3,3085.9,1201.4028
2026-01-10 06:00:00,3086.1,3087.0,3085.8,3086.5,349.3661
2026-01-10 06:15:00,3086.4,3086.5,3082.7,3086.0,362.5419
2026-01-10 06:30:00,3086.5,3086.8,3086.0,3086.5,247.0976
2026-01-10 06:45:00,3086.4,3088.0,3086.3,3086.8,446.7058
2026-01-10 07:00:00,3086.7,3093.1,3086.7,3091.8,12400.3834
2026-01-10 07:15:00,3091.8,3091.9,3089.8,3091.0,696.703
2026-01-10 07:30:00,3090.9,3092.0,3089.3,3089.8,515.9551
2026-01-10 07:45:00,3089.8,3092.0,3089.8,3092.0,196.238
2026-01-10 08:00:00,3092.0,3092.0,3089.0,3090.0,174.7878
2026-01-10 08:15:00,3089.9,3090.0,3088.6,3088.8,223.4689
2026-01-10 08:30:00,3088.7,3088.8,3086.6,3088.1,394.9348
2026-01-10 08:45:00,3088.1,3089.1,3087.9,3089.1,278.9876
2026-01-10 09:00:00,3089.1,3090.9,3088.6,3089.3,759.8621
2026-01-10 09:15:00,3089.4,3092.0,3089.3,3091.2,178.4136
2026-01-10 09:30:00,3091.2,3092.3,3090.4,3092.3,429.9871
2026-01-10 09:45:00,3092.2,3098.3,3092.2,3095.3,1901.5234
2026-01-10 10:00:00,3095.3,3097.8,3094.6,3096.8,418.0435
2026-01-10 10:15:00,3096.7,3098.4,3094.6,3095.1,284.4427
2026-01-10 10:30:00,3095.1,3098.9,3093.6,3097.7,525.8247
2026-01-10 10:45:00,3097.6,3102.9,3097.6,3102.5,2161.6574
2026-01-10 11:00:00,3102.3,3102.4,3098.3,3098.9,425.0403
2026-01-10 11:15:00,3098.9,3099.3,3096.4,3097.0,165.6088
2026-01-10 11:30:00,3097.0,3097.8,3095.5,3095.5,150.4023
2026-01-10 11:45:00,3095.6,3096.1,3094.0,3096.1,174.1559
2026-01-10 12:00:00,3096.1,3098.8,3096.1,3098.5,210.125
2026-01-10 12:15:00,3098.5,3102.6,3095.8,3095.9,312.2537
2026-01-10 12:30:00,3095.9,3096.8,3092.8,3096.7,1625.2252
2026-01-10 12:45:00,3096.7,3098.5,3096.4,3098.5,476.8018
