time,open,high,low,close,volume
2025-08-06 14:00:00,164.22,167.97,163.88,167.86,609944.15
2025-08-06 15:00:00,167.85,169.37,167.19,169.08,429335.2
2025-08-06 16:00:00,169.03,169.42,167.27,167.76,267811.48
2025-08-06 17:00:00,167.73,169.12,167.16,169.09,103119.56
2025-08-06 18:00:00,169.09,169.93,168.34,168.45,340861.16
2025-08-06 19:00:00,168.47,169.09,167.93,168.82,446436.32
2025-08-06 20:00:00,168.82,168.88,167.68,167.97,161128.43
2025-08-06 21:00:00,167.91,168.5,167.23,167.96,83554.04
2025-08-06 22:00:00,168.0,168.47,167.78,168.33,45578.98
2025-08-06 23:00:00,168.34,168.37,167.85,168.04,22365.29
2025-08-07 00:00:00,168.03,168.33,167.48,167.79,29338.44
2025-08-07 01:00:00,167.87,168.93,167.6,167.81,139398.16
2025-08-07 02:00:00,167.78,167.95,166.71,167.0,95387.38
2025-08-07 03:00:00,166.99,167.37,166.6,166.82,40787.79
2025-08-07 04:00:00,166.82,167.51,166.68,167.07,31231.45
2025-08-07 05:00:00,167.07,168.68,166.82,168.67,65280.37
2025-08-07 06:00:00,168.68,169.68,168.51,169.09,112935.03
2025-08-07 07:00:00,169.11,170.28,169.11,169.94,85023.33
2025-08-07 08:00:00,169.95,170.48,169.19,169.3,71068.61
2025-08-07 09:00:00,169.31,169.7,169.01,169.66,58909.94
2025-08-07 10:00:00,169.6,173.31,169.36,173.1,416179.76
2025-08-07 11:00:00,173.11,173.43,172.52,172.75,344451.08
2025-08-07 12:00:00,172.76,173.09,171.44,172.32,245546.41
2025-08-07 13:00:00,172.35,172.55,171.17,171.58,485113.8
2025-08-07 14:00:00,171.57,171.66,169.82,170.16,221596.77
2025-08-07 15:00:00,170.2,170.74,169.62,170.39,117633.14
2025-08-07 16:00:00,170.36,170.51,166.93,168.19,321585.12
2025-08-07 17:00:00,168.14,169.46,167.88,169.34,257788.85
2025-08-07 18:00:00,169.34,169.85,168.68,169.76,107777.51
2025-08-07 19:00:00,169.77,171.85,169.72,171.7,181098.47
2025-08-07 20:00:00,171.71,173.1,171.46,172.85,268742.1
2025-08-07 21:00:00,172.9,174.21,172.45,173.59,226629.61
2025-08-07 22:00:00,173.5,175.14,173.5,175.04,198933.53
2025-08-07 23:00:00,175.05,175.47,174.32,175.31,156982.75
2025-08-08 00:00:00,175.31,175.47,173.54,174.22,220901.03
2025-08-08 01:00:00,174.22,174.76,173.41,174.46,122178.26
2025-08-08 02:00:00,174.46,175.19,173.77,174.69,62534.83
2025-08-08 03:00:00,174.77,175.85,174.43,174.66,93879.37
2025-08-08 04:00:00,174.66,175.1,173.84,174.34,169980.22
2025-08-08 05:00:00,174.33,174.7,174.03,174.17,135762.97
2025-08-08 06:00:00,174.15,175.09,173.82,175.02,74826.96
2025-08-08 07:00:00,175.09,177.77,174.29,177.08,207650.08
2025-08-08 08:00:00,177.08,177.72,174.84,175.32,272856.36
2025-08-08 09:00:00,175.3,176.08,174.94,175.99,118512.69
2025-08-08 10:00:00,176.0,176.98,175.68,176.61,138803.94
2025-08-08 11:00:00,176.61,177.9,176.53,177.62,93328.4
2025-08-08 12:00:00,177.61,177.61,176.07,176.38,258721.88
2025-08-08 13:00:00,176.38,178.68,175.4,178.54,282632.29
2025-08-08 14:00:00,178.53,178.99,175.33,176.39,355138.44
