time,open,high,low,close,volume
2025-08-06 14:00:00,3601.7,3636.6,3586.6,3635.5,50018.8052
2025-08-06 15:00:00,3635.4,3668.8,3619.0,3664.9,49497.3764
2025-08-06 16:00:00,3664.8,3674.1,3639.6,3644.6,41416.1452
2025-08-06 17:00:00,3644.3,3682.7,3637.5,3681.0,25987.9769
2025-08-06 18:00:00,3681.0,3697.6,3672.1,3676.3,46068.488
2025-08-06 19:00:00,3676.2,3685.4,3668.3,3681.9,27044.1459
2025-08-06 20:00:00,3681.8,3681.9,3664.2,3673.2,25991.1425
2025-08-06 21:00:00,3673.0,3683.4,3651.4,3667.6,43121.0359
2025-08-06 22:00:00,3667.5,3681.3,3664.1,3680.7,14263.2015
2025-08-06 23:00:00,3680.6,3684.7,3672.9,3681.4,12534.9238
2025-08-07 00:00:00,3681.4,3681.5,3662.0,3672.0,26118.9038
2025-08-07 01:00:00,3672.0,3715.0,3664.7,3665.6,57083.951
2025-08-07 02:00:00,3665.6,3676.3,3649.0,3657.1,42359.0757
2025-08-07 03:00:00,3657.1,3662.0,3645.3,3655.3,10779.7121
2025-08-07 04:00:00,3655.4,3668.4,3653.4,3660.3,9413.803
2025-08-07 05:00:00,3660.3,3686.9,3658.8,3686.6,18792.9569
2025-08-07 06:00:00,3686.4,3709.2,3685.8,3693.0,28389.1887
2025-08-07 07:00:00,3693.1,3708.1,3692.5,3701.7,17784.2473
2025-08-07 08:00:00,3701.7,3727.9,3701.6,3720.3,40639.8366
2025-08-07 09:00:00,3720.4,3733.3,3714.7,3731.1,19565.2293
2025-08-07 10:00:00,3731.1,3826.7,3729.5,3820.6,172814.88
2025-08-07 11:00:00,3820.7,3842.1,3806.6,3827.2,63955.342
2025-08-07 12:00:00,3827.3,3850.9,3824.2,3850.1,63549.5654
2025-08-07 13:00:00,3850.3,3866.4,3827.5,3858.3,63267.5037
2025-08-07 14:00:00,3858.4,3858.5,3804.4,3817.9,56204.8845
2025-08-07 15:00:00,3818.1,3841.9,3815.0,3837.4,27577.7422
2025-08-07 16:00:00,3837.5,3842.8,3781.0,3815.1,58325.187
2025-08-07 17:00:00,3815.2,3833.7,3804.3,3829.4,30932.3654
2025-08-07 18:00:00,3829.5,3830.2,3807.8,3828.0,21912.5666
2025-08-07 19:00:00,3827.8,3877.0,3822.2,3868.3,98083.5322
2025-08-07 20:00:00,3868.3,3880.9,3851.8,3874.2,53884.9568
2025-08-07 21:00:00,3874.5,3886.0,3859.6,3872.1,51340.325
2025-08-07 22:00:00,3872.2,3928.9,3868.9,3917.7,73883.2897
