time,open,high,low,close,volume
2026-01-09 19:45:00,135.77,136.26,135.75,135.79,71800.57
2026-01-09 20:00:00,135.78,135.78,135.0,135.36,77403.71
2026-01-09 20:15:00,135.37,135.98,135.36,135.62,49385.89
2026-01-09 20:30:00,135.62,136.03,135.16,135.3,46443.07
2026-01-09 20:45:00,135.3,135.82,135.3,135.55,14508.91
2026-01-09 21:00:00,135.57,135.94,135.43,135.82,22595.47
2026-01-09 21:15:00,135.8,136.28,135.78,136.22,40785.75
2026-01-09 21:30:00,136.22,136.41,135.82,136.07,46453.88
2026-01-09 21:45:00,136.08,136.08,135.77,135.99,39808.02
2026-01-09 22:00:00,135.95,136.08,135.55,135.71,7707.77
2026-01-09 22:15:00,135.72,135.88,135.53,135.88,5356.51
2026-01-09 22:30:00,135.87,136.16,135.83,135.84,5864.96
2026-01-09 22:45:00,135.83,136.17,135.82,136.14,2823.3
2026-01-09 23:00:00,136.12,136.32,136.0,136.07,41218.65
2026-01-09 23:15:00,136.06,136.2,135.88,136.1,13805.24
2026-01-09 23:30:00,136.09,136.36,135.78,135.97,9752.93
2026-01-09 23:45:00,135.97,136.24,135.73,135.89,23796.08
2026-01-10 00:00:00,135.89,136.0,135.71,135.71,8837.8
2026-01-10 00:15:00,135.7,135.96,135.63,135.95,22221.65
2026-01-10 00:30:00,135.95,136.08,135.89,135.92,38040.63
2026-01-10 00:45:00,135.91,135.91,135.7,135.82,10422.96
2026-01-10 01:00:00,135.82,136.08,135.77,136.04,3136.84
2026-01-10 01:15:00,136.04,136.24,135.93,136.03,15609.36
2026-01-10 01:30:00,136.04,136.25,136.03,136.17,5084.15
2026-01-10 01:45:00,136.17,136.44,136.12,136.42,12079.18
2026-01-10 02:00:00,136.42,136.53,136.37,136.53,2712.75
2026-01-10 02:15:00,136.53,136.59,136.33,136.39,8327.92
2026-01-10 02:30:00,136.39,136.39,135.87,136.0,3849.3
2026-01-10 02:45:00,136.0,136.41,135.99,136.41,52303.67
2026-01-10 03:00:00,136.41,136.41,135.89,135.96,20981.95
2026-01-10 03:15:00,135.97,136.16,135.96,136.14,2804.17
2026-01-10 03:30:00,136.15,136.17,135.86,135.91,8052.56
2026-01-10 03:45:00,135.91,136.22,135.9,136.09,9610.33
2026-01-10 04:00:00,136.09,136.13,135.68,135.74,5838.2
2026-01-10 04:15:00,135.75,135.94,135.75,135.81,11757.91
2026-01-10 04:30:00,135.84,135.86,135.68,135.86,2504.11
