time,open,high,low,close,volume
2026-02-23 04:00:00,64902.0,64995.0,64656.0,64785.0,837.03366
2026-02-23 05:00:00,64785.0,65183.0,64783.0,65043.0,1577.24863
2026-02-23 06:00:00,65044.0,65777.0,65003.0,65725.0,2068.8407
2026-02-23 07:00:00,65726.0,65981.0,65623.0,65928.0,1831.55787
2026-02-23 08:00:00,65929.0,65931.0,65540.0,65652.0,1176.58927
2026-02-23 09:00:00,65652.0,66420.0,65652.0,66370.0,1515.65941
2026-02-23 10:00:00,66372.0,66570.0,66196.0,66290.0,1025.80982
2026-02-23 11:00:00,66290.0,66455.0,66065.0,66166.0,1287.62455
2026-02-23 12:00:00,66166.0,66472.0,65857.0,66235.0,1997.77033
2026-02-23 13:00:00,66236.0,66408.0,66062.0,66096.0,1008.14393
2026-02-23 14:00:00,66096.0,66228.0,65500.0,65892.0,2036.68357
2026-02-23 15:00:00,65893.0,66196.0,65532.0,65623.0,1711.03907
2026-02-23 16:00:00,65621.0,65684.0,65145.0,65323.0,2121.8347
2026-02-23 17:00:00,65326.0,65415.0,64122.0,64777.0,4383.05022
2026-02-23 18:00:00,64779.0,65165.0,64553.0,64599.0,2795.72217
2026-02-23 19:00:00,64598.0,64827.0,64072.0,64270.0,3102.95314
2026-02-23 20:00:00,64270.0,64453.0,63859.0,64450.0,2100.4723
2026-02-23 21:00:00,64449.0,64769.0,64432.0,64559.0,1059.98306
2026-02-23 22:00:00,64559.0,65000.0,64536.0,64704.0,1649.25275
2026-02-23 23:00:00,64705.0,64889.0,64504.0,64631.0,1341.61276
2026-02-24 00:00:00,64631.0,64994.0,64630.0,64921.0,904.70113
2026-02-24 01:00:00,64922.0,64922.0,63416.0,64130.0,7166.43662
2026-02-24 02:00:00,64129.0,64479.0,63951.0,64081.0,1688.6588
2026-02-24 03:00:00,64081.0,64081.0,63313.0,63559.0,2032.23717
2026-02-24 04:00:00,63560.0,63599.0,62839.0,63352.0,2615.84093
2026-02-24 05:00:00,63352.0,63520.0,62667.0,63075.0,1735.88042
2026-02-24 06:00:00,63075.0,63292.0,62865.0,63055.0,1233.39978
2026-02-24 07:00:00,63054.0,63337.0,62889.0,63173.0,919.48681
2026-02-24 08:00:00,63171.0,63414.0,62993.0,63387.0,985.89782
2026-02-24 09:00:00,63387.0,63398.0,62909.0,63222.0,704.7045
2026-02-24 10:00:00,63223.0,63343.0,63089.0,63257.0,543.32405
2026-02-24 11:00:00,63256.0,63302.0,63035.0,63196.0,976.674
2026-02-24 12:00:00,63197.0,63330.0,62930.0,62941.0,1570.38729
2026-02-24 13:00:00,62941.0,63070.0,62468.0,62883.0,2514.9918
2026-02-24 14:00:00,62884.0,63826.0,62747.0,63432.0,3524.60629
2026-02-24 15:00:00,63432.0,64023.0,63290.0,63957.0,3586.36719
2026-02-24 16:00:00,63956.0,64408.0,63650.0,64232.0,3443.44125
2026-02-24 17:00:00,64233.0,64503.0,64014.0,64186.0,2361.08135
2026-02-24 18:00:00,64186.0,64471.0,63880.0,64394.0,2507.99733
2026-02-24 19:00:00,64395.0,64719.0,64200.0,64403.0,3172.57433
2026-02-24 20:00:00,64403.0,64548.0,64287.0,64431.0,716.57801
2026-02-24 21:00:00,64435.0,64435.0,63781.0,63994.0,3850.50897
2026-02-24 22:00:00,63993.0,64183.0,63930.0,64088.0,512.03922
2026-02-24 23:00:00,64087.0,64209.0,63800.0,64015.0,1310.88444
2026-02-25 00:00:00,64015.0,64280.0,63852.0,64186.0,1353.47008
2026-02-25 01:00:00,64185.0,66266.0,64116.0,65865.0,8573.69886
2026-02-25 02:00:00,65866.0,66326.0,65837.0,65854.0,1653.34583
2026-02-25 03:00:00,65855.0,65923.0,65329.0,65356.0,1782.08037
